SCC,num,specise,PSO4,PNO3,PEC,POC,PMFINE
64615010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64630015,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64630080,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64632080,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64633080,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64820001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
64931031,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
65130011,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
65135001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
65140001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
65140010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
65182001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68110001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68110022,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68110023,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68182599,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68240030,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68282001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68435040,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68445211,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68480001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68482001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68510010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
68582599,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2230072230,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2461200000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2461900000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2505010090,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2505030090,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100211,92084,PM2_5,0.1267,0.0016,0.0188,0.0263,0.8266
10100317,92057,PM2_5,0.1044,0.0054,0.0197,0.3924,0.478
10100318,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100711,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100712,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10101206,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10101207,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10101208,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10101901,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10102018,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10200213,92084,PM2_5,0.1267,0.0016,0.0188,0.0263,0.8266
2280004000,92049,PM2_5,0.0025,0.0035,0.1001,0.694,0.1999
50390004,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100235,92084,PM2_5,0.1267,0.0016,0.0188,0.0263,0.8266
10102001,92084,PM2_5,0.1267,0.0016,0.0188,0.0263,0.8266
9900099999,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2806015000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100692,92057,PM2_5,0.1044,0.0054,0.0197,0.3924,0.478
10100912,92048,PM2_5,0.086,0.021,0.384,0.247,0.262
10199999,92048,PM2_5,0.086,0.021,0.384,0.247,0.262
14733240,92091,PM2_5,0.078,0,0.138,0.326,0.458
15300000,92091,PM2_5,0.078,0,0.138,0.326,0.458
19882400,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30097810,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102312,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30113006,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30113099,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30121007,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30188502,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400116,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400418,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30503699,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30510308,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30700231,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30700232,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30890001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30901045,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30905164,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
31000000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
31094000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
31501000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
35896159,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
38134550,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
38686560,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
39000589,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40301115,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40700817,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40704009,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40704408,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40708404,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
41425200,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50200699,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
50410710,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
58517730,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
79841000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
99000030,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100304,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
10100691,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
12888386,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
13196000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
14316240,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
15210360,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
18386764,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
21083230,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
21747919,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
26200210,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
29301963,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30101871,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102415,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102700,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102799,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112007,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30121004,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30390007,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30402299,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30510206,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30700210,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
31400903,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
31500000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
35656460,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40300106,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40301206,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40508801,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40700802,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40703611,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40704003,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
47850530,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
40705609,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
20200909,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
20482001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
20482002,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2102012000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2103010000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2103011010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2301050001,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2301050002,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2309100030,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2309100050,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2390004000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2402000000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2461100000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2801500360,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2810010000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2810020000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2850000030,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2850001000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2861000000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2861000010,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
2862000000,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30100102,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30100708,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30100803,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30100805,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102003,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102408,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30102608,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30104014,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30104204,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112037,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112480,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112512,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112526,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112527,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30112530,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30113005,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30121180,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30130302,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30187533,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30188503,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30200704,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30201622,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30203410,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30301020,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30302314,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400130,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400415,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400421,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400422,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400423,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400526,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400528,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30400530,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30404902,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30503506,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30510507,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30600400,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30600601,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30600814,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30622404,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30700604,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
30700746,92052,PM2_5,0.0551,0.0016,0.0441,0.0877,0.8115
